what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1347124458594
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347124458594
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1347124458594
java.specification.name,sysinfo,,,"Java Platform API Specification",1347124458594
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124458594
java.specification.version,sysinfo,,,"1.6",1347124458594
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124458594
java.version,sysinfo,,,"1.6.0_21",1347124458594
java.vm.info,sysinfo,,,"mixed mode",1347124458594
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1347124458594
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347124458594
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124458594
java.vm.specification.version,sysinfo,,,"1.0",1347124458594
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347124458594
java.vm.version,sysinfo,,,"17.0-b17",1347124458594
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1347124460179
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1347124460195
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1347124460200
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1347124461254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124464606
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124465444
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124465505
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124467754
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1347124467759
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1347124467759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124473673
error,log,,,"Failed to load properties file for project 'sincimgviewer'",1347124538508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124538545
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1347124538969
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1347124544468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124544487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1347124545785
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1347124548135
